"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_narma_20
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 1, 1)",1.0084644873122182
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 1, 2)",1.0300899188845931
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 2, 0)",1.0115447426498847
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 2, 1)",1.0114021353899711
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 2, 2)",1.0255202670669514
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 0, 0)",1.026301511480071
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 0, 1)",1.0266381371443452
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 0, 2)",1.024769009057778
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 1, 0)",1.0202221721964917
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 1, 1)",1.0244288882092838
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 1, 2)",1.0296540762128932
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 2, 0)",1.0150744657403596
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 2, 1)",1.025220690114075
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 2, 2)",1.0259312799980396
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 0, 0)",1.0272093780295986
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 0, 1)",1.0361033528016663
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 0, 2)",1.0110419124655954
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 1, 0)",1.009947617656538
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 1, 1)",1.016603826254892
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 1, 2)",1.027166564785445
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 2, 0)",1.0232202469469582
