"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_nonlin_channel
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 2, 1)",1.0394344218235392
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 2, 2)",1.01432144816184
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 0, 0)",1.033038320613718
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 0, 1)",1.0236062211337391
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 0, 2)",1.028622280956662
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 1, 0)",1.0223978584196216
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 1, 1)",1.0277193467949004
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 1, 2)",1.02430991037676
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 2, 0)",1.011117723595728
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 2, 1)",1.0353883133908754
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 2, 2)",1.0428821370346455
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 0, 0)",1.0221547620835167
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 0, 1)",1.0330909504645611
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 0, 2)",1.0168237321832403
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 1, 0)",1.039990883820756
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 1, 1)",1.039856783274825
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 1, 2)",1.0314831050559812
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 2, 0)",1.027413745978658
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 2, 1)",1.0160521732851826
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 2, 2)",1.0221546203799727
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 0, 0)",1.0022929810153276
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 0, 1)",1.0233666180039367
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 0, 2)",1.0206479546645049
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 1, 0)",1.0062514929485873
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 1, 1)",1.0165944173635637
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 1, 2)",1.0279875570698211
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 2, 0)",1.0211598707099396
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 2, 1)",1.019656004750492
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 2, 2)",1.006942293152704
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 0, 0)",1.044015338646744
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 0, 1)",1.0250912866267163
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 0, 2)",1.0267238720846028
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 1, 0)",1.0325372948160798
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 1, 1)",1.025853948845809
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 1, 2)",1.0038540945231282
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 2, 0)",1.031501003964215
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 2, 1)",1.0439984409600862
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 2, 2)",1.0368273372046224
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 0, 0)",1.0234237481434596
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 0, 1)",1.033512507709281
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 0, 2)",1.0279612935256737
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 1, 0)",0.9950975800998576
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 1, 1)",1.0265563663898507
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 1, 2)",1.0254414539287875
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 2, 0)",1.0254038524245794
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 2, 1)",1.035994867626698
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 2, 2)",1.0099329353838278
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 0, 0)",1.0208685302309082
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 0, 1)",1.0371582679478788
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 0, 2)",1.0282454009809456
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 1, 0)",1.0061093582131109
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 1, 1)",1.016285141669414
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 1, 2)",1.030903945384196
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 2, 0)",1.0171668385507735
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 2, 1)",1.0392298888623397
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 2, 2)",1.0099446299555406
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 0, 0)",1.0195309401846804
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 0, 1)",1.0307990965996423
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 0, 2)",1.0291202912769608
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 1, 0)",1.0343016136551049
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 1, 1)",1.0275458943897122
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 1, 2)",1.0155950207582614
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 2, 0)",1.0179216798488755
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 2, 1)",1.030301301648354
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 2, 2)",1.0105900636212506
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 0, 0)",0.8820199916717937
