"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_ppst_10
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 0, 2)",1.036008459286062
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 1, 0)",1.0471210765825558
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 1, 1)",1.0328827329860693
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 1, 2)",1.0291719447010526
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 2, 0)",1.0402295135631534
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 2, 1)",1.0248729826791845
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 2, 2)",1.029844499866501
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 0, 0)",1.031376624917686
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 0, 1)",1.0463402474722685
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 0, 2)",1.0426668782470072
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 1, 0)",1.0475112488210196
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 1, 1)",1.0355549521467469
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 1, 2)",1.0134623933398088
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 2, 0)",1.0375535065309751
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 2, 1)",1.021941817569056
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 2, 2)",1.0426582916794245
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 0, 0)",1.0249906032442702
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 0, 1)",1.0460122903593865
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 0, 2)",1.03011472697556
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 1, 0)",1.013545197313953
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 1, 1)",1.03593205163486
